PARK,X_COORD,Y_COORD
LEONE (SAM) BEACH,-87.66253502,42.01316429
LEONE (SAM) BEACH,-87.66316226,42.01318998
LERNER (LEO),-87.70531994,42.00738598
LERNER (LEO),-87.70502059,42.00737959
LERNER (LEO),-87.70521962,42.00787005
LERNER (LEO),-87.70500804,42.00703744
LERNER (LEO),-87.70484239,42.0070389
LEVIN (JOHN),-87.76250322,41.88818318
LEVIN (JOHN),-87.76100238,41.88854971
LEVIN (JOHN),-87.76250045,41.88849483
LEVIN (JOHN),-87.76194101,41.88842081
LILY GARDENS,-87.6397594,41.76241685
LIMAS (JULIANN HOPE),-87.71159618,41.84750179
LIMAS (JULIANN HOPE),-87.71146769,41.84765141
LIN (MARGARET HIE DING),-87.62679834,41.85804356
LINCOLN (ABRAHAM),-87.63269442,41.93410718
LINCOLN (ABRAHAM),-87.63411416,41.92525448
LINCOLN (ABRAHAM),-87.64509279,41.96351217
LINCOLN (ABRAHAM),-87.64837571,41.97566515
LINCOLN (ABRAHAM),-87.62911391,41.91574173
LINCOLN (ABRAHAM),-87.6479931,41.97568755
LINCOLN (ABRAHAM),-87.65005618,41.97774938
LINCOLN (ABRAHAM),-87.63008249,41.91597635
LINCOLN (ABRAHAM),-87.6129855,41.89343569
LINCOLN (ABRAHAM),-87.62474971,41.91448426
LINCOLN (ABRAHAM),-87.63587302,41.96549831
LINCOLN (ABRAHAM),-87.64944623,41.97847338
LINCOLN (ABRAHAM),-87.65174163,41.98602593
LINCOLN (ABRAHAM),-87.62279355,41.90289004
LINCOLN (ABRAHAM),-87.6328727,41.92660864
LINCOLN (ABRAHAM),-87.63504009,41.93082711
LINCOLN (ABRAHAM),-87.63336694,41.91924089
LINCOLN (ABRAHAM),-87.64359119,41.96501741
LINCOLN (ABRAHAM),-87.64440996,41.96473188
LINCOLN (ABRAHAM),-87.62890447,41.91407312
LINCOLN (ABRAHAM),-87.64253933,41.951551
LINCOLN (ABRAHAM),-87.63529869,41.92436874
LINCOLN (ABRAHAM),-87.64913848,41.96996593
LINCOLN (ABRAHAM),-87.6430435,41.96887387
LINCOLN (ABRAHAM),-87.63519348,41.92276162
LINCOLN (ABRAHAM),-87.64120613,41.95226692
LINCOLN (ABRAHAM),-87.63471095,41.93411362
LINCOLN (ABRAHAM),-87.62837112,41.91330046
LINCOLN (ABRAHAM),-87.62807568,41.9140433
LINCOLN (ABRAHAM),-87.62971478,41.91404074
LINCOLN (ABRAHAM),-87.62823631,41.91480157
LINCOLN (ABRAHAM),-87.62941783,41.91492241
LINCOLN (ABRAHAM),-87.64309426,41.95100266
LINCOLN (ABRAHAM),-87.64180025,41.9511521
